title,text,date,category,subcategory,link
"Lula diz que está 'lascado', mas que ainda tem força como cabo eleitoral","Com a possibilidade de uma condenação impedir sua candidatura em 2018, o ex-presidente Luiz Inácio Lula da Silva fez, nesta segunda (9), um discurso inflamado contra a Lava Jato, no qual disse saber que está ""lascado"", exigiu um pedido de desculpas do juiz Sergio Moro e afirmou que, mesmo fora da disputa pelo Planalto, será um cabo eleitoral expressivo para a sucessão de Michel Temer.  Segundo o petista, réu em sete ações penais, o objetivo de Moro é impedir sua candidatura no ano que vem, desidratando-o, inclusive, no apoio a um nome alternativo, como o do ex-prefeito de São Paulo Fernando Haddad (PT), caso ele não possa concorrer à Presidência.  ""Eu sei que tô lascado, todo dia tem um processo. Eu não quero nem que Moro me absolva, eu só quero que ele peça desculpas"", disse Lula durante um seminário sobre educação em Brasília. ""Eles [investigadores] chegam a dizer: 'Ah, se o Lula não for candidato, ele não vai ter força como cabo eleitoral'. Testem"", completou o petista.  Para o ex-presidente, Moro usou ""mentiras contadas pela Polícia Federal e pelo Ministério Público"" para julgá-lo e condená-lo a nove anos e seis meses de prisão pelo caso do tríplex em Guarujá (SP).  O ex-presidente disse ainda não ter ""medo"" dos investigadores que, de acordo com ele, estão acostumados a ""mexer com deputados e senadores"" que temem as apurações.  ""Eu quero que eles saibam o seguinte: se eles estão acostumados a lidar com deputado que tem medo deles, a mexer com senadores que têm medo deles, quero dizer que tenho respeito profundo por quem me respeita, pelas leis que nós ajudamos a criar, mas não tenho respeito por quem não me respeita e eles não me respeitaram"", afirmou o petista.    De acordo com aliados, Lula não gosta de discutir, mesmo que nos bastidores, a chance de não ser candidato ao Planalto e a projeção do nome de Haddad como plano B do PT tem incomodado os mais próximos ao ex-presidente. O ex-prefeito, que estava no evento nesta segunda, fez um discurso rápido, de menos de dez minutos, em que encerrou dizendo esperar que Lula assuma a Presidência em 2019.  ""Espero que dia 1º de janeiro de 2019 esse pesadelo chamado Temer acabe e o senhor assuma a Presidência da República"", disse Haddad.  'DEMÔNIO DO MERCADO'  Lula voltou a fazer um discurso mais agressivo em relação ao mercado e disse que ""não tem cara de demônio"", mas quer que o respeitem ""como se fosse"".  ""Não tenho cara de demônio, mas quero que eles me respeitem como se eu fosse, porque eles sabem que a economia não vai ficar subordinada ao elitismo da sociedade brasileira"", disse o ex-presidente.  O petista rivalizou ainda com o deputado Jair Bolsonaro (PSC-RJ), segundo colocado nas últimas pesquisas empatado com Marina Silva, e disse que se ele ""agrada ao mercado"", o PT tem que ""desagradar"".  A Folha publicou nesta segunda (9) reportagem em que mostrou que o deputado ensaia movimento ao centro no debate econômico, adotando um discurso simpático aos investidores do mercado financeiro.",2017-09-10,poder,,http://www1.folha.uol.com.br/poder/2017/10/1925743-lula-diz-que-esta-lascado-mas-que-ainda-tem-forca-como-cabo-eleitoral.shtml
"'Decidi ser escrava das mulheres que sofrem', diz cantora Oumou Sangaré","Para Oumou Sangaré, cantora e ativista malinesa, o sofrimento da mulher é universal. ""Canto com todas as minhas forças e vejo mulheres chorando ao meu redor"", disse durante um encontro na Casa da Cultura de Paraty, no Rio de Janeiro, neste domingo (8).  Herdeira da tradição musical de sua família –sua avó foi uma ""grande estrela"" do país africano–, ela conta que começou a cantar na rua para ajudar nas finanças de casa após o divórcio dos pais, que deixou seis filhos dependentes de sua mãe, também cantora.  ""Eu vi uma mulher que sofria para se defender sozinha e alimentar os filhos e às vezes isso era muito duro, tinha dias em que ela se retirava no quarto para chorar"", recorda.  Ela conta que o desejo de fazer a mãe feliz a incentivou, inclusive, a abandonar os estudos para se dedicar à música. Ainda que seu canto fosse as dores da matriarca, Sangaré conta ter percebido que as mulheres que a ouviam também se viam decifradas nele.  ""Quando uma mulher dá à luz, ela está entre a vida e a morte, mas ela o faz para que o mundo engrandeça, por que esse mesmo mundo não pode encarar os problemas dela?"", questiona. ""É por isso que decidi ser escrava de todas as mulheres que sofrem.""  Sangaré, que se diz uma ""muçulmana relax"", tornou-se uma notória ativista na luta pela igualdade de gêneros, batalhando contra a circuncisão feminina e o casamento e a poligamia compulsórios –sem contar seu trabalho com a ONU pela erradicação da fome em países africanos.  Com o discurso de empoderamento pelo trabalho –""desenvolvam-se e sejam úteis para sua família e seu país"", ela repete com frequência–, resolveu dar o exemplo, criando uma rede hoteleira e uma concessionária de carros e plantando milho, cebola e laranja.  Os aspectos que moldaram a história de Sangaré estão impressos nos títulos de seus álbuns. Além do que leva o seu nome, ""Moussolou"", o de estreia, significa ""mulher""; ""Ko Sira"", ""o casamento de hoje""; ""Worotan"", ""preço por uma noiva""; ""Seya"", ""alegria""; ""Kounadia"", ""a boa estrela"".  TRADIÇÃO SONORA  Foi o mais recente, ""Mogoya"" (as pessoas da atualidade), que a cantora apresentou em Paraty, neste sábado (7), como parte da programação do Mimo Festival –o evento, gratuito, reuniu cerca de 25 mil pessoas com suas atrações gratuitas durante o fim de semana.  Com letras em bambara, um dos diversos idiomas de Mali, Sangaré se consagrou como ícone do wassoulou, estilo musical derivado do folclore de uma região homônima da África Ocidental.  No repertório que trouxe para cá, ela mistura o ritmo com batidas eletrônicas e conta que a atualização tinha como intuito atingir novas gerações e público do mercado global.  A cantora mostrou a potência de sua voz, amparada por uma banda parte africana e parte europeia que incluía um kamale ngoni –instrumento típico do wassoulou semelhante a um berimbau e moldado com uma cabaça– e uma dupla de backing vocals hipnotizantes.",2017-09-10,ilustrada,,http://www1.folha.uol.com.br/ilustrada/2017/10/1925745-decidi-ser-escrava-das-mulheres-que-sofrem-diz-cantora-oumou-sangare.shtml
Três reportagens da Folha ganham Prêmio Petrobras de Jornalismo,"Três reportagens da Folha foram vencedoras do Prêmio Petrobras de Jornalismo, anunciado na noite desta segunda-feira (9).  O jornal ganhou a premiação nas categorias Economia, com a criação do REM-F (Ranking de Eficiência dos Municípios-Folha), Regional SP-Sul, com uma série de reportagens sobre dados sigilosos do governo Geraldo Alckmin (PSDB), e Ciência e Tecnologia, com o especial ""Tudo sobre o mosquito"".  A vencedora do Grande Prêmio foi a reportagem ""Terra bruta - Pistolagem, devastação e morte no coração do Brasil"", do jornal ""O Estado de S. Paulo"".  Criado em 2013, o Prêmio Petrobras de Jornalismo está em sua quarta edição. Ele teve neste ano 11 categorias nacionais e regionais, além de dois prêmios especiais. Nenhuma das categorias é voltada especificamente às reportagens sobre política.  DOCUMENTOS SECRETOS DE ALCKMIN  Vencedora na categoria Regional SP-Sul, a série de investigações publicadas pela Folha em outubro de 2015 revelou que a gestão Alckmin havia tornado sigilosas centenas de informações do transporte público metropolitano. O trabalho é de autoria dos repórteres Artur Rodrigues, André Monteiro e Fabricio Lobel.  A classificação das informações impossibilitava a consulta pública de 157 documentos num prazo de 25 anos. A população não poderia ter acesso a relatórios que explicassem, por exemplo, os motivos exatos de atrasos em obras de linhas e estações. À época, como atualmente, todas as linhas em expansão do Metrô de São Paulo e da CPTM estavam atrasadas.  A reportagem motivou a abertura de uma investigação pelo Ministério Público e o pedido de explicações pelo Tribunal de Contas do Estado. Dois dias após a publicação do material pelo jornal, o governo paulista revogou os decretos de sigilo e se comprometeu a revisar todos os termos semelhantes impostos até então.  Após a decisão, as reportagens identificaram outras áreas da gestão Alckmin em que também havia sido imposto o sigilo de informação. Entre elas estavam dados sobre procedimentos e projetos técnicos e operacionais do abastecimento de água de São Paulo, além de dados da Polícia Militar e da Administração Penitenciária.  RANKING DE EFICIÊNCIA DOS MUNICÍPIOS  O Ranking de Eficiência dos Municípios-Folha (REM-F), projeto publicado em agosto de 2016, antes das eleições municipais, trouxe uma ferramenta virtual, criada em conjunto com o Datafolha, que mostra quais prefeituras entregam mais serviços básicos à população usando menor volume de recursos financeiros.  O ranking, com participação de Alessandro Janoni, Fernando Canzian, Marcelo Soares, Mario Kanno e Renata Nunes, leva em conta indicadores de saúde, educação e saneamento para calcular a eficiência da gestão em relação à sua receita disponível. Foram avaliados 5.281 municípios, ou 95% do total de 5.569 existentes no Brasil.  Além do índice, o projeto também incluiu visitas a 16 cidades brasileiras, de diferentes regiões e níveis de eficiência apurados pelo ranking.  O MOSQUITO  Coordenado pelos jornalistas Marcelo Leite e Mariana Versolato, o pacote de reportagens sobre o mosquito Aedes aegypti foi publicado em dezembro de 2016, em meio à crise do vírus da zika. Com participação de uma equipe de 21 profissionais, tem também entre seus autores os jornalistas Cláudia Collucci, Lalo de Almeida, Patricia Campos Mello, Reinaldo José Lopes e Gabriel Alves.  O material contém textos sobre diferentes aspectos da questão que comoveu o Brasil e o mundo, chegando a ser declarada como uma emergência internacional pela Organização Mundial da Saúde.  O primeiro capítulo ""O vírus da zika"" é o resultado de uma viagem ao berço da doença, o continente africano, com visitas ao Senegal e a Uganda, onde fica a floresta Zika, que deu nome ao vírus.  Em seguida, o material traz relatos sobre mães e seus filhos e filhas, que nasceram com microcefalia. A reportagem explicita os percalços de quem não tinha muita informação do que fazer naquele momento tão crítico.  O especial ainda discute o impacto da doença nos EUA e as novidades no combate ao mosquito Aedes aegypti e à doença propriamente dita.",2017-09-10,poder,,http://www1.folha.uol.com.br/poder/2017/10/1925789-tres-reportagens-da-folha-ganham-premio-petrobras-de-jornalismo.shtml
Filme 'Star Wars: Os Últimos Jedi' ganha trailer definitivo; assista,"A Disney divulgou na noite desta segunda-feira (9) o novo trailer de ""Star Wars: Os Últimos Jedi"", oitavo episódio da saga.  O trailer era aguardado pelos fãs e se tornou um dos tópicos mais comentados no Twitter no horário de seu lançamento.  Assista ao trailer de 'Os Últimos Jedi'  Assista ao trailer de 'Os Últimos Jedi'  Em ""O Despertar da Força"" (2015), episódio mais recente, a personagem Rey (Daisy Ridley) descobre que tem a Força e procura por Luke Skywalker (Mark Hamill) para começar seu treinamento Jedi.  A história do novo episódio continua desse ponto, e cenas do trailer mostram a relação entre Rey e Skywalker.  Com direção de Rian Johnson, o filme será lançado em 14 de dezembro no Brasil. O nono episódio, ainda sem título, encerra a nova trilogia em 20 de dezembro de 2019.  O estúdio também divulgou novo poster do filme.  Poster",2017-09-10,ilustrada,,http://www1.folha.uol.com.br/ilustrada/2017/10/1925733-filme-star-wars-os-ultimos-jedi-ganha-trailer-definitivo-assista.shtml
CBSS inicia acordos com fintechs e quer 30% do crédito digital em 2018,"O CBSS, banco da holding Elopar dos sócios Bradesco e Banco do Brasil, está fazendo parcerias com fintechs, prevendo em 2018 alcançar 30% de um mercado de rápido crescimento e que já empresta mais de R$ 1 bilhão por ano.  Inicialmente, os acordos usarão o modelo mais praticado no mercado, com fintechs captando pedidos de empréstimos e filtrando o perfil de risco dos tomadores, operação conhecida no jargão do mercado como ""lead"" e pela qual as fintechs são remuneradas, quase sempre por bancos de médio porte e cooperativas de crédito, que de fato concedem os financiamentos.  ""Nós temos funding competitivo e em boa quantidade e as fintechs conseguem originar crédito com um custo muito menor do que faríamos por meios físicos"", disse à Reuters o presidente do Banco CBSS, Carlos Giovane.  A primeira parceria é com a Bom Pra Crédito, marketplace no qual cerca de 500 mil interessados em tomar empréstimo pessoal submetem todo mês pedidos que são distribuídos para cerca de 25 bancos oferecerem propostas.  Além desse acordo, já em andamento, negociações estão em curso com outras quatro fintechs especializadas em crédito: Guia Bolso, Lendico, Finanzero e Wecash, previstas para estarem operacionais ainda em 2017.  O movimento marca a primeira aproximação operacional, mesmo que de forma indireta, de grandes bancos com fintechs, que nos últimos dois anos emergiram como potenciais rivais no crédito pessoal, ao oferecerem taxas de juros muito menores do que as praticadas no sistema financeiro.  Segundo o presidente da Bom Pra Crédito, Ricardo Kalichsztein, ser parceiro é melhor.  O CBSS, no caso, oferecerá empréstimos pessoais sem garantia com taxas a partir de 3,9% ao mês. A taxa média do sistema financeiro foi de 7,2% ao mês, segundo dados do Banco Central referentes a agosto.  A iniciativa acontece em meio a uma audiência pública aberta pelo Banco Central para regulamentar a atuação das plataformas digitais de crédito. A proposta do BC é classificar essas fintechs em duas categorias, a que empresta com capital dos próprios acionistas e a que conecta investidores a tomadores de recursos, prática conhecida como peer to peer lending.  Na avaliação de especialistas do setor, dependendo da forma como vier a regulação, o modelo atual de parcerias pode ser esvaziado, uma vez que bancos podem preferir ter plataformas digitais próprias, enquanto algumas fintechs poderiam ter um braço financeiro para operar de ponta a ponta.  ""As fintechs começarão a se perguntar se vale a pena virar banco"", disse Rubens Vidigal Neto, sócio do PVG Advogados.  Atento a esse movimento, o CBSS já visualiza aprofundar a aproximação com as fintechs. Num primeiro momento, as conversas envolvem proposta de remuneração mais atrativa, na qual o banco pode repassar às parceiras mais do que apenas um valor pela originação de negócios.  Mas com pelo menos uma delas as conversas já evoluíram para participação societária.  ""Estamos em negociações finais para sermos sócios de uma delas (fintech)"", disse Giovane, sem dar mais detalhes.  A entrada do CBSS no crédito digital é motivada, dentre outros fatores, pelo interesse dos sócios em acelerar a rentabilização do negócio, disse o executivo.  Após ter obtido as aprovações do Banco Central no ano passado para atuar como banco, o CBSS vem deslanchando uma série de iniciativas para vender produtos financeiros, incluindo por meio da financeira Ibi, de parcerias com redes varejistas e o lançamento de um plataforma digital própria de cartão de crédito, a Digio.  Essa plataforma começa a operar ainda este mês um marketplace, inclusive com produtos como os da Apple Store. A partir de novembro, a Digio incluirá oferta de crédito pessoal.  Todas essas frentes consumiram investimentos que levam mais tempo para dar retorno. O banco, que tinha patrimônio de R$ 410 milhões em junho, já opera no azul desde o mês passado, mas o plano é começar a ter lucro.  ""As parcerias com as fintechs no crédito são um negócio que permite retorno quase imediato"", disse Giovane.",2017-09-10,mercado,,http://www1.folha.uol.com.br/mercado/2017/10/1925723-cbss-inicia-acordos-com-fintechs-e-quer-30-do-credito-digital-em-2018.shtml
"Em encontro, Bono pergunta a Macri sobre argentino desaparecido","O vocalista da banda irlandesa U2, Bono, fez uma pergunta espinhosa ao presidente argentino, Mauricio Macri, em encontro que ambos mantiveram na Casa Rosada, sede do governo argentino, nesta segunda-feira (9).  O músico, que se apresenta com seu grupo nesta terça (10) e quarta (11) no país, quis saber como estão as investigações do desaparecimento do artesão Santiago Maldonado, ocorrida dia 1º de agosto deste ano na Patagônia.  O sumiço de Maldonado se transformou em um dos temas da campanha para as eleições legislativas que ocorrem no próximo dia 22.  Marchas e protestos vêm ocorrendo em várias cidades desde então, e há cartazes pedindo o ""reaparecimento com vida"" do ativista.  Maldonado havia se juntado a um protesto de indígenas mapuche que reivindicam um território na Província de Chubut, no sul do país, hoje sob posse da companhia italiana Benetton.  Na ocasião, houve enfrentamento da Gendarmeria (polícia de fronteiras argentina) com os manifestantes, e testemunhas alegam que Maldonado foi levado pelos agentes.  O governo, por meio da Secretaria de Segurança Pública, à qual a Gendarmeria responde, alega que essa afirmação é falsa e, desde então, tem realizado intensas buscas pela região para encontrar Maldonado.  A ex-presidente Cristina Kirchner, candidata ao Senado pela oposição, tem usado a imagem de Maldonado em campanha, dizendo ser o ""primeiro desaparecido político do governo Macri"".  Apesar da pergunta, Bono e Macri se trataram de forma cordial.  Após o encontro, o cantor disse que havia ""sentido que o presidente está comprometido na missão de encontrar Maldonado"". E acrescentou que vinha ao país ""reforçar o pedido para que o caso seja esclarecido, em nome da Anistia Internacional"".  Além disso, Bono afirmou que ambos trataram de alguns temas da pauta da próxima reunião do G-20, que ocorrerá na Argentina no ano que vem. O país assume em dezembro a presidência rotativa do grupo que congrega as 20 maiores economias.  ""As pessoas pensam que esses eventos são apenas encontros com jantares luxuosos. Mas, neste caso, haverá um grande espaço dedicado ao debate da necessidade de se ajudar as mulheres que estão em situação de pobreza e às mais de 130 milhões de meninas em todo o mundo que não vão à escola"", afirmou Bono.",2017-09-10,mundo,,http://www1.folha.uol.com.br/mundo/2017/10/1925729-em-encontro-bono-pergunta-a-macri-sobre-argentino-desaparecido.shtml
"Posso sair do Brasil quando e como quiser, diz Cesare Battisti","O italiano Cesare Battisti disse nesta segunda-feira (9) que tem liberdade para sair do Brasil quando quiser.  ""Eu não tenho refúgio político. Eu sou um imigrante, com visto permanente no país. Eu posso sair desse país quando e como quero. Não tenho nenhuma restrição"", afirmou ele em entrevista à TV Tribuna, afiliada da TV Globo.  Battisti foi detido na semana passada acusado de evasão de divisas ao tentar atravessar a fronteira com a Bolívia portando dólares e euros no valor equivalente a pouco mais de R$ 23 mil.  Na sexta-feira (6), o desembargador José Marcos Lunardelli, do TRF-3 (Tribunal Regional Federal da 3ª Região), concedeu um habeas corpus ao italiano, preso em Mato Grosso do Sul. Ele chegou a São Paulo no sábado (7).  A entrevista à emissora foi gravada em Cananeia (SP), cidade onde Battisti está morando.  ""Ia estar fugindo de quê? O país onde estou protegido é aqui"", afirmou ele, negando que tivesse a intenção de fugir do país. ""Não é verdade o que se fala, que eu não tinha o direito de sair do país.""  A defesa do italiano já vinha afirmando que não há impedimento para que ele, na condição de refugiado, realize viagem, mesmo que seja para o exterior. Segundo os advogados, sua situação jurídica no Brasil está plenamente legalizada há quase dez anos.  ""Eu tenho todo o direito de cidadão brasileiro"", disse Battisti à TV. ""O decreto do Lula não pode ser revogado. Depois de cinco anos acabou o prazo.""    Battisti fugiu da Itália e, em 2004, veio para o Brasil. Foi preso em 2007 e, em 2009, o STF (Supremo Tribunal Federal) autorizou a extradição, que foi negada pelo ex-presidente Luiz Inácio Lula da Silva em 2010, no último dia de seu governo.  Antes da prisão na semana passada, o Ministério da Justiça já havia encaminhado ao presidente Michel Temer um parecer no qual tratava sobre a extradição de Battisti.  Agora a Subchefia para Assuntos Jurídicos (SAJ) do Planalto está elaborando uma avaliação que deve ficar pronta na quarta-feira (11). A partir daí, cabe a Temer tomar uma decisão sobre o caso. A expectativa é que ele delibere sobre isso logo após a entrega da análise jurídica, mas oficialmente não há prazo.  A pasta da Justiça enviou na sexta-feira (6) um parecer próprio ao Planalto, em que afirmava não haver nenhum obstáculo jurídico que impeça a extradição. É a partir desse texto que o documento da SAJ deve ser redigido.  *  CRONOLOGIA O caso Battisti  Década de 1970 Envolve-se com grupos de luta armada de extrema-esquerda  Década de 1980 Foge da Itália e passa a maior parte do tempo no México. É condenado à prisão perpétua pela Justiça italiana, acusado de quatro homicídios  Década de 1990 Se exila em Paris (França), protegido por legislação do governo Mitterrand  2004 Sem Miterrand, França aprova extradição para Itália; foge em direção ao Brasil, onde vive clandestino  2007 É preso no Rio  2009 Ministério da Justiça dá a ele status de refugiado político, mas STF aprova extradição  2010 Lula, então presidente, decide pela permanência de Battisti no Brasil  2011 STF valida decisão de Lula, e Battisti é solto. Governo concede visto de permanência a ele  2015 Juíza da 20ª Vara Federal de Brasília atende a pedido do Ministério Público e determina a deportação de Battisti. A defesa recorre da decisão  2017 Na quarta (4.out), é detido em Corumbá (MS). Consegue habeas corpus na sexta (6.out)",2017-09-10,poder,,http://www1.folha.uol.com.br/poder/2017/10/1925722-posso-sair-do-brasil-quando-e-como-quiser-diz-cesare-battisti.shtml
Tite diz querer seguir na seleção após o Mundial da Rússia,"Pela primeira vez desde que assumiu o comando da seleção brasileira há quase 16 meses, o técnico Tite afirmou que já pensou em continuar no cargo após a Copa.  Ele assumiu o posto em junho de 2016 após a demissão de Dunga.  O treinador iniciou o seu trabalho fora da zona de classificação para a Copa do Mundo, mas com uma arrancada surpreendente conseguiu nove vitórias consecutivas e dois empates e obteve a vaga no Mundial com antecipação. O treinador ainda coleciona mais duas vitórias e uma derrota em jogos amistosos.  ""Pensar eu pensei [seguir após Mundial], mas ainda é utopia, temos que crescer muito a mentalidade para esse tipo de coisa acontecer. Temos que evoluir como técnicos, como dirigentes e como formadores de opinião. Eu cobiço o que a Alemanha tem, que consegue deixar tanto tempo um treinador para trabalhar"", afirmou Tite.  Na entrevista, o treinador falou sobre o o duelo contra o Chile, marcado para esta terça-feira (10), às 20h30, no Allianz Parque, pela última rodada das eliminatórias para a Copa do Mundo.  Uma vitória da seleção brasileira pode ajudar a Argentina a se classificar sem a repescagem ao Mundial. O time dirigido por Sampaoli enfrenta o eliminado Equador em Quito.  Atualmente, o Chile ocupa a terceira posição com 26 pontos. Já a Argentina está na sexta posição com 25 pontos. Entre os dois times estão Colômbia, quarta colocada (26 pontos), e o Peru, quinto colocado (25 pontos).  ""Vamos fazer o que é mais importante para nós, para a dignidade de um povo, da imprensa. Não é nada de extraordinário, que é fazer o melhor. Os outros vão colher o fruto do trabalho que fizeram"", disse o treinador.  ""A classificação será determinada com o trabalho feito nos 18 jogos. Não será merecimento por apenas um jogo e sim pela sequência"", completou. .  Tite fará apenas duas mudanças em relação ao time que empatou com a Bolívia. O goleiro Ederson, que terá a primeira oportunidade como titular, entra no lugar de Alisson, enquanto Marquinhos ocupa a vaga de Thiago Silva. Na lateral esquerda, Alex Sandro será mantido.  ""Não posso desestruturar a equipe em demasia. Mexo no goleiro, na lateral [mantém o Alex Sandro] Normalmente são duas mudanças. Se mexer demais, perde a organização, a coordenação e a preparação para o Mundial. Quando começa a mexer nos três setores, essa oportunidade se perde em função da falta de estrutura. Por isso que tomei o cuidado de não mexer excessivamente. Porque aí você vira ''Professor Pardal'', completou.",2017-09-10,esporte,,http://www1.folha.uol.com.br/esporte/2017/10/1925734-tite-diz-querer-seguir-na-selecao-apos-o-mundial-da-russia.shtml
Supremo nega pedido para Senado analisar impeachment de Gilmar,"O STF (Supremo Tribunal Federal) negou na quinta-feira (5) um recurso para analisar um pedido de impeachment contra o ministro Gilmar Mendes.  O caso foi levado ao Supremo em janeiro por um grupo de juristas, que entrou com um mandado de segurança contestando decisão do então presidente do Senado, Renan Calheiros (PMDB-AL), que, em setembro de 2016, arquivou um pedido de impeachment contra Gilmar.  Para os juristas, Renan não poderia ""arquivar sumariamente o pedido de impeachment: A) por não ter competência legal para tanto, eis que tal competência é da Mesa do Senado; B) por estar legalmente impedido (por suspeição) de praticar o ato hostilizado"". Segundo eles, o ato deveria ser anulado e reavaliado.  O documento é assinado por Celso Antonio Bandeira de Mello, Fabio Konder Comparato, Sérgio Sérvulo da Cunha, Eny Raimundo Moreira, Roberto Átila Amaral e Alvaro Augusto Ribeiro Costa.  Relator do caso, Edson Fachin negou o pedido do grupo, que recorreu.  Para Fachin, ""embora os impetrantes discordem das conclusões a que chegou o então presidente do Senado, não cabe a esta corte rever seu mérito, apenas verificar a legalidade dos atos e dos procedimentos por ele praticados, no exercício legítimo de sua função constitucional"".  O caso foi julgado no plenário virtual do STF entre os dias 29 de setembro e 5 de outubro.  Gilmar não participou e nem o ministro Marco Aurélio, que se declarou suspeito. Os outros ministros votaram contra o prosseguimento da ação.",2017-09-10,poder,,http://www1.folha.uol.com.br/poder/2017/10/1925731-stf-nega-pedido-para-senado-analisar-impeachment-de-gilmar-mendes.shtml
"Em teste, WhatsApp Business permite que empresas façam cadastro com fixo","O aplicativo de mensagens instantâneas WhatsApp disponibilizou para download sua versão para negócios anunciada em setembro. Em fase de testes, o serviço está sendo usado por algumas empresas selecionadas por meio de um pré-cadastro no site da empresa.  Com o WhatsApp Business, as companhias podem registrar suas contas com telefones fixos e configurar um perfil público, com verificação semelhante à que já é usada nas redes sociais e informações mais detalhadas do que as previstas hoje no serviço tradicional, como endereço, descrição e site do negócio.  Também é possível estabelecer horários específicos em que o Whatsapp estará ativo e definir uma resposta automática para os clientes.  A ideia é separar os perfis pessoais dos corporativos, que hoje funcionam de maneira ""bastante rudimentar"", como definiu a empresa quando comunicou sobre o lançamento do novo serviço.  Para as grandes companhias, segundo a mesma nota, o WhatsApp quer fazer do aplicativo uma solução para operar em escala - para fornecer notificações sobre horários de voo, no caso das companhias aéreas, por exemplo, confirmações de entrega e outras atualizações.  Em entrevista ao jornal americano The Wall Street Journal logo após o anúncio do novo serviço, o chefe de operações do WhatsApp Matt Idema confirmou que há intenção de cobrar das empresas pelo serviço futuramente, sem dar mais detalhes sobre como isso funcionaria ou quanto custaria.  Executivos da companhia já haviam afirmado que o lançamento de um serviço para empresas fazia parte da estratégia para monetizar o aplicativo.  No Brasil, estão testando o WhatsApp Business companhias como o banco Itaú, que integrou o aplicativo à sua plataforma de atendimento aos clientes do serviço Personalitté Digital, e a companhia aérea holandesa KLM, que disponibilizou o serviço para aqueles que, no momento da reserva ou do check-in feito no site da empresa, selecionarem a opção para receber informações via WhatsApp.  Em julho, o aplicativo, lançado em 2009 e adquirido por US$ 19 milhões pelo Facebook em 2014, comemorou a marca de um bilhão de usuários ativos por dia. Pouco mais de 10% desse total, 120 milhões, estão no Brasil.",2017-09-10,tec,,http://www1.folha.uol.com.br/tec/2017/10/1925724-em-teste-whatsapp-business-permite-que-empresas-facam-cadastro-com-fixo.shtml
